id,recipient,jurisdiction,state,ein,type,amount,fips_code,fips
657,"BENTON COUNTY
P.O. BOX 218
ASHLAND, MS 38603",Benton,MS,64-6000146,COUNTY GOVERNMENT,108424,NA,28009 
658,"BOLIVAR COUNTY CIRCUIT CLERK
MARILYN L. KELLY - P. O. BOX 670 -
CLEVELAND, MS 38732",Bolivar,MS,26-1904689,COUNTY GOVERNMENT,37395,NA,28011 
659,"CLAIBORNE COUNTY BOARD OF
SUPERVISORS - 510 MARKET STREET -
PORT GIBSON, MS 39150",Claiborne,MS,64-6000232,COUNTY GOVERNMENT,12513,NA,28021 
660,"CLAY COUNTY
7342 HWY 45 ALT. N
WEST POINT, MS 39733",Clay,MS,64-6000252,COUNTY GOVERNMENT,27210,NA,28025 
661,"DEMETRIA JACKSON, COAHOMA COUNTY
CIRCUIT CLERK - PO BOX 849 -
CLARKSDALE, MS 38614",Coahoma,MS,64-6000262,COUNTY GOVERNMENT,31229,NA,28027 
662,"DESOTO COUNTY BOARD OF SUPERVISORS
365 LOSHER ST.
HERNANDO, MS 38632",DeSoto,MS,64-6000315,COUNTY GOVERNMENT,347752,NA,NA
663,"FORREST COUNTY BOARD OF							
SUPERVISORS - PO BOX 1310 -							
HATTIESBURG, MS 39403",Forrest,MS,64-6000356,COUNTY GOVERNMENT,315590,NA,28035 
664,"GEORGE COUNTY							
329 RATLIFF ST							
LUCEDALE, MS 39452",George,MS,64-6000376,COUNTY GOVERNMENT,32932,NA,28039 
665,"HARRISON COUNTY
P. O. DRAWER CC
GULFPORT, MS 39502",Harrison,MS,81-0835379,COUNTY GOVERNMENT,21015,NA,28047 
666,"HINDS COUNTY
PO BOX 686
JACKSON, MS 39205",Hinds,MS,64-6000443,COUNTY GOVERNMENT,1719000,NA,28049 
667,"HOLMES COUNTY, MS. BOARD OF
ELECTION COMMISSIONER - P.O. BOX
718 - LEXINGTON, MS 39095",Holmes,MS,64-6000458,COUNTY GOVERNMENT,23634,NA,28051 
668,"JEFFERSON COUNTY BOARD OF
SUPERVISORS - P O BOX 145 -
FAYETTE, MS 39069",Jefferson,MS,64-6000525,COUNTY GOVERNMENT,10080,NA,28063 
669,"JEFFERSON DAVIS COUNTY
P. O. BOX 1317
PRENTISS, MS 39474",Jefferson Davis,MS,NA,COUNTY GOVERNMENT,13006,NA,28065 
670,"KEMPER COUNTY
P.O. BOX 188
DEKALB, MS 39328",Kemper,MS,64-6000542,COUNTY GOVERNMENT,42008,NA,28069 
671,"LAFAYETTE COUNTY
2 COURTHOUSE SQUARE
LEWISVILLE, AR 71845",Lafayette,MS?,71-6012930,COUNTY GOVERNMENT,53155,NA,NA
672,"LINCOLN COUNTY							
PO BOX 340							
LINCOLNTON, GA 30817",Lincoln,MS?,NA,COUNTY GOVERNMENT,27384,NA,NA
673,"MADISON COUNTY CIRCUIT CLERK							
P O BOX 1626							
CANTON, MS 39046",Madison,MS,81-0863081,COUNTY GOVERNMENT,323669,NA,28089 
674,"MARSHALL COUNTY BOARD OF
SUPERVISORS - P O BOX 219 - HOLLY
SPRINGS, MS 38635",Marshall,MS,64-6000676,COUNTY GOVERNMENT,30804,NA,28093 
675,"MONROE COUNTY DEPARTMENT OF
ELECTIONS - P O BOX 843 -
ABERDEEN, MS 39730",Monroe,MS,64-6000844,COUNTY GOVERNMENT,24768,NA,28095 
676,"OKTIBBEHA COUNTY
P.O. BOX 80285
STARKVILLE, MS 39759",Oktibbeha,MS,64-6000929,COUNTY GOVERNMENT,45092,NA,28105 
677,"PIKE COUNTY BOARD OF SUPERVISORS -
ELECTIONS DEPARTMENT - P.O. BOX
431 - MAGNOLIA, MS 39652",Pike,MS,64-6000976,COUNTY GOVERNMENT,43613,NA,28113 
678,"SUNFLOWER COUNTY CTCL ELECTION
GRANT - P.O. BOX 880 - INDIANOLA,
MS 38751",Sunflower,MS,64-6001093,COUNTY GOVERNMENT,36567,NA,28133 
679,"TALLAHATCHIE
P.O. BOX 350
CHARLESTON, MS 38921",Tallahatchie,MS,64-6001102,COUNTY GOVERNMENT,16575,NA,28135 
680,"TATE COUNTY BOARD OF SUPERVISORS
910 E F HALE JR. DRIVE
SENATOBIA, MS 38668",Tate,MS,64-0692285,COUNTY GOVERNMENT,7690,NA,28137 
681,"TIPPAH COUNTY BOARD OF SUPERVISORS							
101 E, SPRING ST.							
RIPLEY, MS 38663",Tippah,MS,64-6001117,COUNTY GOVERNMENT,12836,NA,28139 
682,"TUNICA COUNTY							
PO BOX 639							
TUNICA, MS 38676",Tunica,MS,64-6001134,COUNTY GOVERNMENT,36789,NA,28143 
683,"WALTHALL COUNTY
200 BALL AVENUE
TYLERTOWN, MS 39667",Walthall,MS,64-6001183,COUNTY GOVERNMENT,12794,NA,28147 
684,"WARREN COUNTY BOARD OF SUPERVISORS
PO BOX 351
VICKSBURG, MS 39180",Warren,MS,64-6001189,COUNTY GOVERNMENT,49672,NA,28149 
685,"WASHINGTON COUNTY BOARD OF
SUPERVISORS - P. O BOX 158 -
GREENVILLE, MS 38702",Washington,MS,64-6001196,COUNTY GOVERNMENT,292112,NA,28151 
686,"YALOBUSHA COUNTY BOARD OF
SUPERVISORS - 201 BLACKMUR DRIVE -
WATER VALLEY, MS 38965",Yalobusha,MS,64-6001259,COUNTY GOVERNMENT,9485,NA,28161 
687,"BATES COUNTY
103 W. DAKOTA
BUTLER, MO 64730",Bates,MO,44-6000448,COUNTY GOVERNMENT,7479,NA,29013 
688,"COUNTY OF BOONE MISSOURI
801 E WALNUT
COLUMBIA, MO 65201",Boone,MO,43-6000349,COUNTY GOVERNMENT,493333,NA,29019 
689,"BUTLER COUNTY
100 NORTH MAIN STREET ROOM 202
POPLAR BLUFF, MO 63901",Butler,MO,43-6000537,COUNTY GOVERNMENT,27600,NA,29023 
690,"OZARK							
100 W. CHURCH ST RM 304							
OZARK, MO 65721",Ozark,MO,44-6000473,COUNTY GOVERNMENT,35943,NA,29153 
691,"CLAY COUNTY BOARD OF ELECTIONS							
100 W. MISSISSIPPI ST.							
LIBERTY, MO 64068",Clay,MO,43-1593429,COUNTY GOVERNMENT,348685,NA,29047 
692,"COLE COUNTY
311 E. HIGH STREET
JEFFERSON CITY, MO 65101",Cole,MO,44-6000488,COUNTY GOVERNMENT,10000,NA,29051 
693,"GREENE COUNTY TREASURER
1010 GRAND BLVD.
KANSAS CITY, MO 64106",Greene,MO,44-6000506,COUNTY GOVERNMENT,404718,NA,29077 
694,"JACKSON COUNTY BOARD OF ELECTION
COMMISSIONERS - 215 N LIBERTY -
INDEPENDENCE, MO 64050",Jackson,MO,43-1599177,COUNTY GOVERNMENT,66675,NA,29095 
695,"JASPER COUNTY
302 S. MAIN ST STE 102
CARTHAGE, MO 64836",Jasper,MO,43-6000531,COUNTY GOVERNMENT,80158,NA,29097 
696,"KANSAS CITY BOARD OF ELECTION
COMMISSIONERS - 30 W. PERSHING RD.
- KANSAS CITY, MO 64108",Kansas City,MO,43-6000519,LOCAL GOVERNMENT,1329775,NA,NA
697,"LAWRENCE COUNTY
1 COURTHOUSE SQUARE, SUITE 101
MOUNT VERNON, MO 65712",Lawrence,MO,43-6000547,COUNTY GOVERNMENT,18088,NA,29109 
698,"COUNTY OF LINCOLN
201 MAIN STREET
TROY, MO 63379",Lincoln,MO,43-6002035,COUNTY GOVERNMENT,23739,NA,29113 
699,"MARION COUNTY							
100 S. MAIN STREET							
PALMYRA, MO 63461",Marion,MO,43-6002183,COUNTY GOVERNMENT,13137,NA,29127 
700,"NEWTON COUNTY TREASURER							
PO BOX 488							
NEOSHO, MO 64850",Newton,MO,44-6000566,COUNTY GOVERNMENT,29469,NA,29145 
701,"PINCKNEYVILLE
PO BOX 438
PINCKNEYVILLE, IL 62274",Pinckneyville,IL,NA,COUNTY GOVERNMENT,11040,NA,NA
702,"COUNTY OF PETTIS
415 S OHIO AVE
SEDALIA, MO 65301",Pettis,MO,44-6000577,COUNTY GOVERNMENT,20909,NA,29159 
703,"PIKE COUNTY
115 W MAIN
BOWLING GREEN, MO 63334",Pike,MO,43-6002762,COUNTY GOVERNMENT,10038,NA,29163 
704,"PLATTE CITY
PO BOX 560
PLATTE CITY, MO 64079",Platte City,MO,43-1647989,LOCAL GOVERNMENT,22834,NA,NA
705,"PULASKI COUNTY ELECTION AUTHORITY
301 HISTORIC 66E
WAYNESVILLE, MO 65583",Pulaski,MO,43-6002914,COUNTY GOVERNMENT,36032,NA,29169 
706,"RIPLEY COUNTY
100 COURTHOUSE SQUARE, SUITE #2
DONIPHAN, MO 63935",Ripley,MO,43-6003008,COUNTY GOVERNMENT,5113,NA,29181 
707,"SCOTT COUNTY
600 WEST FOURTH STREET
DAVENPORT, IA 52801",Scott,MO?,NA,COUNTY GOVERNMENT,25054,NA,NA
708,"ST. CHARLES COUNTY							
201 N SECOND ST RM 541							
ST CHARLES, MO 63301",St. Charles,MO,43-6003122,COUNTY GOVERNMENT,667919,NA,NA
709,"ST. LOUIS COUNTY MISSOURI							
41 S CENTRAL AVE							
ST. LOUIS, MO 63105",St. Louis,MO,43-6003242,COUNTY GOVERNMENT,2048474,NA,NA
710,"CITY OF ST. LOUIS - ELECTIONS
300 N. TUCKER
ST. LOUIS, MO 63101",St. Louis City,MO,43-6003231,LOCAL GOVERNMENT,1034210,NA,NA
711,"TANEY COUNTY
PO BOX 156
FORSYTH, MO 65653",Taney,MO,44-6000607,COUNTY GOVERNMENT,28777,NA,29213 
712,"TEXAS COUNTY ELECTIONS
210 N. GRAND AVE
HOUSTON, MO 65483",Texas,MO,44-6000609,COUNTY GOVERNMENT,14685,NA,29215 
713,"VERNON COUNTY
100 W. CHERRY STREET
NEVADA, MO 64772",Vernon,MO,44-6000613,COUNTY GOVERNMENT,9348,NA,29217 
714,"WAYNE COUNTY ELECTIONS
P.O. BOX 48
PIEDMONT, MO 63944",Wayne,MO,43-6003984,COUNTY GOVERNMENT,6832,NA,29223 
715,"WEBSTER COUNTY
701 CENTRAL AVE.
FORT DODGE, IA 50501",Webster,MO?,NA,COUNTY GOVERNMENT,16116,NA,NA
716,"WRIGHT COUNTY CLERK
PO BOX 98
HARTVILLE, MO 65667",Wright,MO,44-6000621,COUNTY GOVERNMENT,8944,NA,29229 
717,"PARK COUNTY ELECTIONS DEPARTMENT							
414 E CALLENDER ST							
LIVINGSTON, MT 59047",Park,MT,81-6001401,COUNTY GOVERNMENT,7617,NA,30067 
718,"BLAINE COUNTY							
BOX 278							
CHINOOK, MT 59523",Blaine,MT,81-6001335,COUNTY GOVERNMENT,256433,NA,30005 
719,"CASCADE COUNTY TREASURER
PO BOX 2549
GREAT FALLS, MT 59403",Cascade,MT,81-6001343,COUNTY GOVERNMENT,280001,NA,30013 
720,"GALLATIN COUNTY ELECTION
DEPARTMENT - 311 WEST MAIN STREET,
ROOM 210 - BOZEMAN, MT 59715",Gallatin,MT,81-6001363,COUNTY GOVERNMENT,295681,NA,30031 
721,"GLACIER COUNTY - ELECTIONS
ADMINISTRATOR - P.O. BOX 1139 -
CUT BANK, MT 59427",Glacier,MT,81-6001368,COUNTY GOVERNMENT,263830,NA,30035 
722,"CLERK & RECORDER-HILL COUNTY
315 4TH STREET
HAVRE, MT 59501",Hill,MT,81-6001374,LOCAL GOVERNMENT,125788,NA,30041 
723,"LAKE COUNTY
18 NORTH COUNTY STREET
WAUKEGAN, IL 60085",Lake,MT?,NA,COUNTY GOVERNMENT,272932,NA,NA
724,"LEWIS & CLARK COUNTY
316 N. PARK AVE.
HELEN, MT 59623",Lewis & Clark,MT,81-6001383,COUNTY GOVERNMENT,215000,NA,NA
725,"MISSOULA COUNTY
140 N RUSSELL ST
MISSOULA, MT 59801",Missoula,MT,81-6001397,COUNTY GOVERNMENT,312342,NA,30063 
726,"RAVALLI COUNTY							
215 S. 4TH STREET, SUITE C							
HAMILTON, MT 59840",Ravalli,MT,81-6001417,COUNTY GOVERNMENT,19593,NA,30081 
727,"YELLOWSTONE COUNTY- FINANCE							
DEPARTMENT - PO BOX 35003 -							
BILLINGS, MT 59107",Yellowstone,MT,81-6001449,COUNTY GOVERNMENT,320593,NA,30111 
728,"LANCASTER COUNTY, NEBRASKA
555 S. 10TH STREET
LINCOLN, NE 68508",Lancaster,NE,47-6006482,COUNTY GOVERNMENT,404585,NA,31109 
729,"CLARK COUNTY, NV ELECTION
DEPTARMENT #84 - 965 TRADE DRIVE
SUITE A - NORTH LAS VEGAS, NV
89030",Clark,NV,88-6000028,COUNTY GOVERNMENT,2394036,NA,32003 
730,"WASHOE COUNTY
1001 E 9TH ST
RENO, NV 89512",Washoe,NV,88-6000138,COUNTY GOVERNMENT,277479,NA,32031 
731,"CITY OF BERLIN
168 MAIN STREET
BERLIN, NH 03570",Berlin,NH,02-6000073,LOCAL GOVERNMENT,5919,NA,NA
732,"CITY OF CLAREMONT
58 OPERA HOUSE SQ
CLAREMONT, NH 03743",Claremont,NH,02-6000154,LOCAL GOVERNMENT,6027,NA,NA
733,"TOWN OF DERRY
14 MANNING STREET
DERRY, NH 03038",Derry,NH,02-6000222,LOCAL GOVERNMENT,9553,NA,NA
734,"CITY OF DOVER NH
288 CENTRAL AVE
DOVER, NH 03820",Dover,NH,02-6000230,LOCAL GOVERNMENT,16335,NA,NA
735,"CITY OF KEENE NH							
3 WASHINGTON STREET							
KEENE, NH 03431",Keene,NH,02-6000441,LOCAL GOVERNMENT,11637,NA,NA
736,"CITY OF LACONIA							
PO BOX 489							
LACONIA, NH 03247",Laconia,NH,02-6000451,LOCAL GOVERNMENT,7761,NA,NA
737,"CITY OF LEBANON
20 WEST PARK STREET SUITE 20
LEBANON, NH 03766",Lebanon,NH,02-6000473,LOCAL GOVERNMENT,7294,NA,NA
738,"TOWN OF LONDONDERRY
268B MAMMOTH ROAD
LONDONDERRY, NH 03053",Londonderry,NH,02-6000499,LOCAL GOVERNMENT,15048,NA,NA
739,"CITY OF MANCHESTER - CITY CLERK
1 CITY HALL PLAZA
MANCHESTER, NH 03101",Manchester,NH,02-6000517,LOCAL GOVERNMENT,65108,NA,NA
740,"TOWN OF MERRIMACK
6 BABOOSIC LAKE RD
MERRIMACK, NH 03054",Merrimack,NH,02-6000548,LOCAL GOVERNMENT,7858,NA,33013 
741,"CITY OF NASHUA
229 MAIN STREET
NASHUA, NH 03060",Nashua,NH,02-6000581,LOCAL GOVERNMENT,44016,NA,NA
742,"TOWN OF SALEM
33 GEREMONTY DRIVE
SALEM, NH 03301",Salem,NH,02-6000817,LOCAL GOVERNMENT,11298,NA,NA
743,"TOWN OF EXETER
10 FRONT STREET
EXETER, NH 03833",Exeter,NH,02-6000268,LOCAL GOVERNMENT,5648,NA,NA
744,"COUNTY OF ATLANTIC							
1333 ATLANTIC AVE							
ATLANTIC CITY, NJ 08401",Atlantic,NJ,21-6000049,COUNTY GOVERNMENT,553365,NA,34001 
745,"BERGEN COUNTY							
1 BERGEN COUNTY PLAZA ROOM 501							
HACKENSACK, NJ 07601",Bergen,NJ,21-6002426,COUNTY GOVERNMENT,2065628,NA,34003 
746,"COUNTY OF BURLINGTON
49 RANCOCAS ROAD
MOUNT HOLLY, NJ 08060",Burlington,NJ,21-6000107,COUNTY GOVERNMENT,2889843,NA,34005 
747,"COUNTY OF CAMDEN
520 MARKET STREET, 9TH FLOOR
CAMDEN, NJ 08102",Camden,NJ,21-6000504,COUNTY GOVERNMENT,2415645,NA,34007 
748,"CAPE MAY COUNTY BOARD OF CHOSEN
FREEHOLDERS - 4 MOORE RD - CAPE
MAY COURT HOUSE, NJ 08210",Cape May,NJ,21-6000106,COUNTY GOVERNMENT,43884,NA,34009 
749,"COUNTY OF CUMBERLAND
164 W. BROAD ST.
BRIDGETON, NJ 08302",Cumberland,NJ,21-6000508,COUNTY GOVERNMENT,875113,NA,34011 
750,"ESSEX COUNTY
465 DR. MARTIN LUTHER KING JR. BLV
NEWARK, NJ 07102",Essex,NJ,22-6002433,COUNTY GOVERNMENT,2944803,NA,34013 
751,"COUNTY OF GLOUCESTER
PO BOX 337
WOODBURY, NJ 08096",Gloucester,NJ,21-6000660,COUNTY GOVERNMENT,267828,NA,34015 
752,"HUDSON COUNTY, NEW JERSEY
567 PAVONIA AVE
JERSEY CITY, NJ 07306",Hudson,NJ,22-6002443,COUNTY GOVERNMENT,688657,NA,34017 
753,"HUNTERDON COUNTY BOARD OF							
ELECTIONS - PO BOX 2900 -							
FLEMINGTON, NJ 08822",Hunterdon,NJ,22-6002450,COUNTY GOVERNMENT,83011,NA,34019 
754,"MERCER COUNTY							
640 SOUTH BROAD STREET							
TRENTON, NJ 08650",Mercer,NJ,21-6000856,COUNTY GOVERNMENT,1003600,NA,34021 
755,"COUNTY OF MIDDLESEX
75 BAYARD STREET, 3RD FL
NEW BRUNSWICK, NJ 08901",Middlesex,NJ,21-6002454,COUNTY GOVERNMENT,959860,NA,34023 
756,"COUNTY OF MONMOUTH GRANT FUND
1 E. MAIN STREET
FREEHOLD, NJ 07728",Monmouth,NJ,21-6000881,COUNTY GOVERNMENT,557124,NA,34025 
757,"COUNTY OF MORRIS
P.O. BOX 900
MORRISTOWN, NJ 07963",Morris,NJ,22-6002462,COUNTY GOVERNMENT,369931,NA,34027 
758,"COUNTY OF OCEAN
118 WASHINGTON STREET
TOMS RIVER, NJ 08754",Ocean,NJ,21-6000954,COUNTY GOVERNMENT,450403,NA,34029 
759,"COUNTY OF PASSAIC
401 GRAND STREET
PATERSON, NJ 07505",Passaic,NJ,22-6002465,COUNTY GOVERNMENT,3203500,NA,34031 
760,"SALEM COUNTY BOARD OF ELECTIONS
110 FIFTH STEET SUITE 1000
SALEM, NJ 08079",Salem,NJ,21-6001147,COUNTY GOVERNMENT,67683,NA,34033 
761,"SOMERSET COUNTY
20 GROVE STREET
SOMERVILLE, NJ 08876",Somerset,NJ,22-6002472,COUNTY GOVERNMENT,305988,NA,34035 
762,"COUNTY OF SUSSEX							
1 SPRING STREET							
NEWTON, NJ 07860",Sussex,NJ,22-6002477,COUNTY GOVERNMENT,114682,NA,34037 
763,"COUNTY OF UNION							
10 ELIZABETH FINANCE - 5TH FLOOR							
ADMINISTRATION BUILDING -							
ELIZABETH, NJ 072",Union,NJ,22-6002481,COUNTY GOVERNMENT,1443685,NA,34039 
764,"WARREN COUNTY
301 N BUXTON ST
INDIANOLA, IA 50125",Warren,IA,NA,COUNTY GOVERNMENT,36043,NA,19181 
765,"WARREN COUNTY CLERK
165 COUNTY ROUTE 519 SOUTH
BELVIDERE, NJ 07823",Warren,NJ,22-6002488,COUNTY GOVERNMENT,36043,NA,34041 
766,"BERNALILLO COUNTY NEW MEXICO
1 CIVIC PLAZA NW
ALBUQUERQUE, NM 87102",Bernalillo,NM,85-6000202,COUNTY GOVERNMENT,1477000,NA,35001 
767,"CHAVES COUNTY
PO BOX 1597
ROSWELL, NM 88202",Chaves,NM,85-6000206,COUNTY GOVERNMENT,64680,NA,35005 
768,"CIBOLA COUNTY
700 E. ROOSEVELT AVE. SUITE 50
GRANTS, NM 87020",Cibola,NM,85-0291095,COUNTY GOVERNMENT,284011,NA,35006 
769,"DONA ANA COUNTY
845 N. MOTEL BLVD
LAS CRUCES, NM 88007",Dona Ana,NM,85-6000281,COUNTY GOVERNMENT,83613,NA,35013 
770,"EDDY COUNTY
325 S MAIN ST
CARLSBAD, NM 88220",Eddy,NM,85-6000216,COUNTY GOVERNMENT,49681,NA,35015 
771,"GRANT COUNTY							
1400 HIGHWAY 180 EAST							
SILVER CITY, NM 88061",Grant,NM,85-6000218,COUNTY GOVERNMENT,281346,NA,35017 
772,"LINCOLN COUNTY CLERK							
PO BOX 338							
CARRIZOZO, NM 88301",Lincoln,NM,85-6000228,COUNTY GOVERNMENT,15345,NA,35027 
773,"INCORPORATED COUNTY OF LOS ALAMOS
1000 CENTRAL AVENUE, SUITE 300
LOS ALAMOS, NM 87544",Los Alamos,NM,85-6000679,COUNTY GOVERNMENT,9153,NA,35028 
774,"MCKINLEY COUNTY
207 W. HILL AVE
GALLUP, NM 87301",McKinley,NM,85-6000234,COUNTY GOVERNMENT,343173,NA,35031 
775,"ROOSEVELT COUNTY CLERK
109 W. FIRST STREET
PORTALES, NM 88130",Roosevelt,NM,85-6000242,COUNTY GOVERNMENT,15353,NA,35041 
776,"SANTA FE COUNTY
PO BOX 276
SANTA FE, NM 87504",Santa Fe,NM,85-6000073,COUNTY GOVERNMENT,626399,NA,35049 
777,"COUNTY OF TORRANCE
P.O. BOX 318
ESTANCIA, NM 87016",Torrance,NM,85-6000257,COUNTY GOVERNMENT,13323,NA,35057 
778,"ALLEGANY COUNTY BOARD OF ELECTIONS
8 WILLETS AVE
BELMONT, NY 14813",Allegany,NY,16-6002554,COUNTY GOVERNMENT,22416,NA,36003 
779,"BROOME COUNTY
PO BOX 1766
BINGHAMTON, NY 13902",Broome,NY,15-6000449,COUNTY GOVERNMENT,107398,NA,36007 
780,"COUNTY OF CATTARAUGUS							
303 COURT STREET					
LITTLE VALLEY, NY 14755",Cattaraugus,NY,16-6002555,COUNTY GOVERNMENT,36000,NA,36009 
781,"CAYUGA COUNTY							
160 GENESEE STREET							
AUBURN, NY 13021",Cayuga,NY,15-6000450,COUNTY GOVERNMENT,37125,NA,36011 
782,"CHAUTAUQUA COUNTY
3 NORTH ERIE STREET
MAYVILLE, NY 14757",Chautauqua,NY,16-6002556,COUNTY GOVERNMENT,72016,NA,36013 
783,"COUNTY OF CHEMUNG
P.O. BOX 588
ELMIRA, NY 14902",Chemung,NY,16-6002557,COUNTY GOVERNMENT,47338,NA,36015 
784,"COUNTY OF COLUMBIA
15 N. 6TH ST
HUDSON, NY 12534",Columbia,NY,14-6002564,COUNTY GOVERNMENT,34059,NA,36021 
785,"DELAWARE COUNTY TREASURER
111 MAIN ST PO BOX 431
DELHI, NY 13753",Delaware,NY,15-6000453,COUNTY GOVERNMENT,22374,NA,36025 
786,"COUNTY OF DUTCHESS
22 MARKET STREET
POUGHKEEPSIE, NY 12601",Dutchess,NY,14-6002566,COUNTY GOVERNMENT,156219,NA,36027 
787,"BOARD OF ELECTIONS COUNTY OF ERIE
95 FRANKLIN STREET, RM1100
BUFFALO, NY 14202",Erie,NY,16-6002558,COUNTY GOVERNMENT,564144,NA,36029 
788,"GENESEE COUNTY
15 MAIN ST.
BATAVIA, NY 14020",Genesee,NY,16-6002560,COUNTY GOVERNMENT,27810,NA,36037 
789,"COUNTY OF JEFFERSON							
175 ARSENAL ST.							
WATERTOWN, NY 13601",Jefferson,NY,15-6000457,COUNTY GOVERNMENT,60921,NA,36045 
790,"NASSAU COUNTY TREASURER							
240 OLD COUNTRY RD							
MINEOLA, NY 11501",Nassau,NY,11-6000463,COUNTY GOVERNMENT,2189098,NA,36059 
791,"THE BOARD OF ELECTIONS IN THE CITY
OF NEW YORK - 32 BROADWAY - NEW
YORK, NY 10004",New York City,NY,13-6400434,LOCAL GOVERNMENT,19294627,NA,NA
792,"ONONDAGA COUNTY BOARD OF ELECTIONS
1000 ERIE BLVD W
SYRACUSE, NY 13204",Onondaga,NY,15-6000461,COUNTY GOVERNMENT,280696,NA,36067 
793,"ONTARIO COUNTY
20 ONTARIO STREET
CANANDAIGUA, NY 14424",Ontario,NY,16-6002565,COUNTY GOVERNMENT,42433,NA,36069 
794,"OSWEGO COUNTY BOARD OF ELECTIONS
185 E. SENECA STREET
OSWEGO, NY 13126",Oswego,NY,15-6000463,COUNTY GOVERNMENT,56049,NA,36075 
795,"COUNTY OF PUTNAM
25 OLD RT 6
CARMEL, NY 10512",Putnam,NY,14-6002759,COUNTY GOVERNMENT,51524,NA,36079 
796,"RENSSELAER COUNTY BOARD OF
ELECTIONS - 1600 7TH AVE - TROY,
NY 12180",Rensselaer,NY,14-6002569,COUNTY GOVERNMENT,87003,NA,36083 
797,"COUNTY OF ROCKLAND
50 SANATORIUM ROAD, BUILDING A, 8T
POMONA, NY 10970",Rockland,NY,13-6007344,COUNTY GOVERNMENT,185364,NA,36087 
798,"SARATOGA COUNTY							
40 MCMASTER ST							
BALLSTON SPA, NY 12020",Saratoga,NY,14-6002571,COUNTY GOVERNMENT,86170,NA,36091 
799,"SCHENECTADY COUNTY							
2696 HAMBURG STREET							
SCHENECTADY, NY 12303",Schenectady,NY,14-6002431,COUNTY GOVERNMENT,92700,NA,36093 
800,"SCHOHARIE COUNTY BOARD OF
ELECTIONS - PO BOX 99 - SCHOHARIE,
NY 12157",Schoharie,NY,14-6002574,COUNTY GOVERNMENT,15255,NA,36095 
801,"SCHUYLER COUNTY
102 S. CONGRESS ST., SUITE 104
RUSHVILLE, IL 62681",Schuyler,NY,NA,COUNTY GOVERNMENT,7265,NA,36097 
802,"ST. LAWRENCE COUNTY BOARD OF
ELECTIONS - 80 STATE HIGHWAY 310 -
CANTON, NY 13617",St. Lawrence,NY,15-6000465,COUNTY GOVERNMENT,51759,NA,NA
803,"STEUBEN COUNTY BOARD OF ELECTIONS
3 EAST PULTENEY SQUARE
BATH, NY 14810",Steuben,NY,16-6002567,COUNTY GOVERNMENT,45126,NA,36101 
804,"COMPTROLLER, COUNTY OF SUFFOLK
330 CENTER DRIVE
RIVERHEAD, NY 11901",Suffolk,NY,11-6000464,COUNTY GOVERNMENT,952974,NA,36103 
805,"COUNTY OF SULLIVAN NY
100 NORTH STREET - PO BOX 5012
MONTICELLO, NY 12701",Sullivan,NY,14-6002812,COUNTY GOVERNMENT,44972,NA,36105 
806,"TIOGA COUNTY BOARD OF ELECTIONS
56 MAIN STREET
OWEGO, NY 13827",Tioga,NY,15-6000468,COUNTY GOVERNMENT,12061,NA,36107 
807,"TOMPKINS COUNTY							
128 E BUFFALO ST.							
ITHACA, NY 14850",Tompkins,NY,15-6000469,COUNTY GOVERNMENT,63928,NA,36109 
808,"ULSTER COUNTY							
244 FAIR STREET, 4TH FL.							
KINGSTON, NY 12402",Ulster,NY,14-6002575,COUNTY GOVERNMENT,112872,NA,36111 
809,"COUNTY OF WESTCHESTER
148 MARTINE AVENUE
WHITE PLAINS, NY 10601",Westchester,NY,13-6007353,COUNTY GOVERNMENT,634370,NA,36119 
810,"YATES COUNTY
417 LIBERTY ST
PENN YAN, NY 14527",Yates,NY,16-6002572,COUNTY GOVERNMENT,11376,NA,36123 
811,"CRAVEN COUNTY
406 CRAVEN STREET
NEW BERN, NC 28560",Craven,NC,56-6000290,COUNTY GOVERNMENT,70430,NA,37049 
812,"ALAMANCE COUNTY
124 WEST ELM STREET
GRAHAM, NC 27253",Alamance,NC,56-6000271,COUNTY GOVERNMENT,101061,NA,37001 
813,"ALLEGHANY COUNTY
PO BOX 366
SPARTA, NC 28675",Alleghany,NC,56-6000017,COUNTY GOVERNMENT,7157,NA,37005 
814,"BEAUFORT COUNTY
132 W. 2ND ST.
WASHINGTON, NC 27889",Beaufort,NC,56-6001521,COUNTY GOVERNMENT,32648,NA,37013 
815,"BRUNSWICK COUNTY BOARD OF
ELECTIONS - PO BOX 2 - BOLIVIA, NC
28422",Brunswick,NC,56-6000278,COUNTY GOVERNMENT,67291,NA,37019 
816,"BUNCOMBE COUNTY FINANCE							
P.O. BOX 7526							
ASHEVILLE, NC 28802",Buncombe,NC,56-6000279,COUNTY GOVERNMENT,135881,NA,37021 
817,"CAMDEN COUNTY BOARD OF ELECTIONS							
PO BOX 206							
CAMDEN, NC 27921",Camden,NC,56-6000282,COUNTY GOVERNMENT,5362,NA,37029 
818,"CATAWBA COUNTY
PO BOX 389
NEWTON, NC 28658",Catawba,NC,56-6001814,COUNTY GOVERNMENT,91068,NA,37035 
819,"DURHAM COUNTY
201 E. MAIN STREET, 7TH FLOOR
DURHAM, NC 27701",Durham,NC,56-6000297,COUNTY GOVERNMENT,1341779,NA,37063 
